N°;MATRICULE;NOM;PRENOM;GRADE_FR;GRADE_EN;CATEGORIE_PROFESSIONNELLE;POSTE_DE_TRAVAIL_FR;POSTE_DE_TRAVAIL_EN;STRUCTURE_FR;STRUCTURE_EN;SERVICE_FR;SERVICE_EN;FAMILLE_METIER_FR;FAMILLE_METIER_EN;REGION_FR;REGION_EN;DEPARTEMENT_FR;DEPARTEMENT_EN;COMMUNE_FR;COMMUNE_EN;DATE_E_ADM;DATE_NAISSANCE;LIEU_NAISSANCE;SEXE;ETATCIVIL;TEL;EMAIL
50;MAT721974;Diallo;Christelle;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CDI4/CRIC2;Cdi4/Cric2;CDI4/CRIC2;CDI4/CRIC2;CENTRE;CENTER;LEKIE;Lekie;SA’A;Sa’A;03/11/2000;02/04/1979;Ndovolo - Sa'a;M;CELIBATAIRE;604224709;patrickleveque@delmas.fr
51;MAT187948;Schmitt;Thierry;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;COMPLÉMENT D'EFFECTIF CELLULE DE GESTION;Complément D'Effectif Cellule De Gestion;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CDI4/CRIC2;Cdi4/Cric2;CDI4/CRIC2;CDI4/CRIC2;CENTRE;CENTER;MEFOU ET AFAMBA;Mefou Et Afamba;ESSE;Esse;01/01/2009;29/09/1970;Yaoundé;F;CELIBATAIRE;608532423;pguillon@free.fr
52;MAT665559;Diaz;Geneviève;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;740;CONTROLEUR FINANCIER SPECIALISE;Controleur Financier Specialise;AUTRES ADMINISTRATIONS DU MINFI;Autres Administrations Du Minfi;DIRECTION GENERALE DU BUDGET;Direction Generale Du Budget;DIRECTION GENERALE DU BUDGET;DIRECTION GENERALE DU BUDGET;;;;;ABONG MBANG;Abong Mbang;20/06/2003;18/04/1977;;M;VEUF(VE);686297843;andree57@sfr.fr
53;MAT184237;Picard;Anastasie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PSRF/CRIE;Psrf/Crie;PSRF/CRIE;PSRF/CRIE;SUD;SOUTH;OCEAN;Ocean;MVENGUE;Mvengue;01/01/2009;01/10/1970;ebom;F;MARIE(E);608762525;frederic48@gmail.com
54;MAT951340;Vallet;Gabrielle;AGENT DECISIONNAIRE;Agent Decisionnaire;3/6;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CDI ZOETELE;Cdi Zoetele;CDI ZOETELE;CDI ZOETELE;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;MBANKOMO;Mbankomo;01/01/2009;31/12/1979;Yaoundé;M;CELIBATAIRE;636533414;zperez@free.fr
55;MAT560673;Lefebvre;Suzanne;AGENT DECISIONNAIRE;Agent Decisionnaire;5/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CDI2/CRIC1;Cdi2/Cric1;CDI2/CRIC1;CDI2/CRIC1;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;NGOUMOU;Ngoumou;01/01/2009;02/11/1971;MFOU;F;MARIE(E);644823404;maggieperrin@leroux.net
56;MAT246921;Guyot;Timothée;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/1;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;RRI/CRIO;Rri/Crio;RRI/CRIO;RRI/CRIO;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;MBANKOMO;Mbankomo;01/01/2009;10/05/1970;NGOUMOU;M;MARIE(E);668949576;guyongeorges@chartier.com
57;MAT313440;Clément;Bernard;INGÉNIEUR DES TRAVAUX DE LA STATISTIQUE;Ingénieur Des Travaux De La Statistique;580;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;CELLULE DE L'INFORMATIQUE ET DES STATISTIQUES - DGE;Cellule De L'Informatique Et Des Statistiques - Dge;CELLULE DE L'INFORMATIQUE ET DES STATISTIQUES - DGE;CELLULE DE L'INFORMATIQUE ET DES STATISTIQUES - DGE;LITTORAL;LITTORAL;MOUNGO;Moungo;MELONG;Melong;10/07/2015;01/03/1992;Yaoundé;F;CELIBATAIRE;691140192;paulmary@marques.fr
58;MAT638017;Raymond;Rémy;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/3;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CDI5/CRIC2;Cdi5/Cric2;CDI5/CRIC2;CDI5/CRIC2;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;29/11/1970;Yaoundé;F;MARIE(E);695551476;thomasalphonse@bourgeois.com
59;MAT266330;Menard;Clémence;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;AGENT VERIFICATEUR;Agent Verificateur;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PSRF/CRIE;Psrf/Crie;PSRF/CRIE;PSRF/CRIE;CENTRE;CENTER;NYONG ET MFOUMOU;Nyong Et Mfoumou;AKONOLINGA;Akonolinga;01/01/2009;30/10/1973;kobdombo;M;MARIE(E);641387961;julienrobert@ifrance.com
60;MAT785356;Delmas;David;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/7;CHEF D'ANTENNE;Chef D'Antenne;PROGRAMME DE SECURISATION DES RECETTES DE L'ELEVAGE ET DES PECHES;Programme De Securisation Des Recettes De L'Elevage Et Des Peches;PSREP;Psrep;PSREP;PSREP;CENTRE;CENTER;NYONG ET SO’O;Nyong Et So’O;MBALMAYO;Mbalmayo;01/01/2009;22/10/1968;MBADOUMOU 1;F;MARIE(E);648278196;elodieroux@chartier.fr
61;MAT881683;Rodrigues;Julie;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/7;CAISSIERE;Caissiere;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;RRI/CRIC2;Rri/Cric2;RRI/CRIC2;RRI/CRIC2;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;MBANKOMO;Mbankomo;01/01/2009;28/06/1966;YAOUNDE;F;CELIBATAIRE;649510809;hervealex@laposte.net
62;MAT675725;Deschamps;Alfred;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIRECTION DES AFFAIRES GENERALES;Direction Des Affaires Generales;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;Sous-Direction Du Budget Et Du Materiel;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;CENTRE;CENTER;MEFOU ET AFAMBA;Mefou Et Afamba;MFOU;Mfou;01/01/2009;30/09/1970;NKOMO-MFOU;F;CELIBATAIRE;659805350;eneveu@orange.fr
63;MAT126422;Hamon;Grégoire;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;680;VERIFICATEUR ASSISTANT;Verificateur Assistant;CONTRÔLE SUPERIEUR DE L'ETAT;Contrôle Superieur De L'Etat;CONTRÔLE SUPERIEUR DE L'ETAT;Contrôle Superieur De L'Etat;CONTRÔLE SUPERIEUR DE L'ETAT;CONTRÔLE SUPERIEUR DE L'ETAT;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;SANGMELIMA;Sangmelima;01/01/2013;30/01/1988;;F;MARIE(E);607822719;hardyjoseph@ifrance.com
64;MAT935985;Barbe;Brigitte;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/5;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIRECTION DES AFFAIRES GENERALES;Direction Des Affaires Generales;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;Sous-Direction Du Budget Et Du Materiel;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;SOUS-DIRECTION DU BUDGET ET DU MATERIEL;CENTRE;CENTER;MEFOU ET AFAMBA;Mefou Et Afamba;MFOU;Mfou;01/01/2009;27/07/1978;NDANGUENG II;F;MARIE(E);646235219;lbernard@tiscali.fr
65;MAT715315;Lecoq;Denise;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/1;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;BRE/CRIC2;Bre/Cric2;BRE/CRIC2;BRE/CRIC2;SUD;SOUTH;MVILA;Mvila;BIWONG BANE;Biwong Bane;15/07/2021;07/01/1980;Ebolowa;F;CELIBATAIRE;643721009;martinbailly@laposte.net
66;MAT365847;Bouvet;Roger;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/4;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CIME BONANJO;Cime Bonanjo;CIME BONANJO;CIME BONANJO;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;22/09/1978;Metet;M;MARIE(E);648601576;fmaillot@le.net
67;MAT797985;Pascal;Marie;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1050;INSPECTEUR ENQUETEUR;Inspecteur Enqueteur;DIVISION DES ENQUETES, DE LA PROGRAMMATION ET DU SUIVI DU CONTRÔLE FISCAL;Division Des Enquetes, De La Programmation Et Du Suivi Du Contrôle Fiscal;BRIGADE DES ENQUETES;Brigade Des Enquetes;BRIGADE DES ENQUETES;BRIGADE DES ENQUETES;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;20/06/2003;13/09/1969;;M;MARIE(E);682500138;oclement@live.com
68;MAT509575;Joly;Jacqueline;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/7;CHEF DE SERVICE;Chef De Service;CENTRE REGIONAL DES IMPOTS DE L'EST;Centre Regional Des Impots De L'Est;SAG/CRIE;Sag/Crie;SAG/CRIE;SAG/CRIE;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;19/06/1977;Ngomedzap;M;CELIBATAIRE;637856475;lecomtearthur@dbmail.com
69;MAT818342;Meunier;Michelle;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CHEF DE SERVICE;Chef De Service;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;SAG/CRIS;Sag/Cris;SAG/CRIS;SAG/CRIS;CENTRE;CENTER;NYONG ET SO’O;Nyong Et So’O;NKOLMETET;Nkolmetet;01/01/2009;30/08/1976;METET;M;MARIE(E);606777860;jcouturier@martel.org
70;MAT841576;Rousset;Lucie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/6;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CSPLI MFOUNDI;Cspli Mfoundi;CSPLI MFOUNDI;CSPLI MFOUNDI;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;AKONO;Akono;01/01/2009;20/03/1980;;F;MARIE(E);642540466;hmaury@ifrance.com
71;MAT650206;Traore;Philippe;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;CHEF DE CELLULE;Chef De Cellule;DIRECTION DES GRANDES ENTREPRISES;Direction Des Grandes Entreprises;CELLULE DE L'INFORMATIQUE ET DES STATISTIQUES - DGE;Cellule De L'Informatique Et Des Statistiques - Dge;CELLULE DE L'INFORMATIQUE ET DES STATISTIQUES - DGE;CELLULE DE L'INFORMATIQUE ET DES STATISTIQUES - DGE;SUD;SOUTH;MVILA;Mvila;NGOULEMAKONG;Ngoulemakong;01/01/2009;28/04/1978;Abiete;M;MARIE(E);675535129;ggrondin@live.com
72;MAT653462;Aubert;Charles;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;785;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;DIVISION DE LA LEGISLATION ET DES RELATIONS FISCALES INTERNATIONALES;Division De La Legislation Et Des Relations Fiscales Internationales;CELLULE DU SUIVI DE RÉGIMES FISCAUX DÉROGATOIRES ET SPÉCIAUX;Cellule Du Suivi De Régimes Fiscaux Dérogatoires Et Spéciaux;CELLULE DU SUIVI DE RÉGIMES FISCAUX DÉROGATOIRES ET SPÉCIAUX;CELLULE DU SUIVI DE RÉGIMES FISCAUX DÉROGATOIRES ET SPÉCIAUX;SUD;SOUTH;MVILA;Mvila;MVANGAN;Mvangan;09/12/2011;07/01/1983;YAOUNDE;F;MARIE(E);681655020;emmanuelle27@hotmail.fr
73;MAT186028;Hamel;Arnaude;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DE L'EST;Centre Regional Des Impots De L'Est;CDI HAUT NYONG;Cdi Haut Nyong;CDI HAUT NYONG;CDI HAUT NYONG;EST;EAST;HAUT-NYONG;Haut-Nyong;ABONG-BANG;Abong-Bang;01/01/2009;02/09/1976;AYOS;F;MARIE(E);673084915;emartel@dbmail.com
74;MAT964294;Barre;Amélie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/6;TENEUR DE MACHINE;Teneur De Machine;CENTRE REGIONAL DES IMPOTS DE L'EST;Centre Regional Des Impots De L'Est;CDI LOM ET DJEREM;Cdi Lom Et Djerem;CDI LOM ET DJEREM;CDI LOM ET DJEREM;CENTRE;CENTER;MEFOU ET AKONO;Mefou Et Akono;NGOUMOU;Ngoumou;01/01/2009;12/02/1972;AKONO;F;MARIE(E);679424215;gaillardsusan@laposte.net
75;MAT828468;Carre;Colette;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CDI2/CRIC1;Cdi2/Cric1;CDI2/CRIC1;CDI2/CRIC1;CENTRE;CENTER;MBAM ET INOUBOU;Mbam Et Inoubou;KIIKI;Kiiki;01/01/2009;25/07/1976;Kumba;M;MARIE(E);687797020;emmanuellegautier@lebrun.fr
76;MAT866277;Le Roux;Rémy;INSPECTEUR DES IMPÔTS;Inspecteur Des Impôts;680;CHARGÉ D'ETUDES ASSISTANT;Chargé D'Etudes Assistant;DIVISION DE LA LEGISLATION ET DES RELATIONS FISCALES INTERNATIONALES;Division De La Legislation Et Des Relations Fiscales Internationales;CELLULE DE LA LÉGISLATION FISCALE;Cellule De La Législation Fiscale;CELLULE DE LA LÉGISLATION FISCALE;CELLULE DE LA LÉGISLATION FISCALE;EST;EAST;HAUT-NYONG;Haut-Nyong;MESSAMENA;Messamena;06/12/2006;03/01/1976;NKONGSAMBA;F;MARIE(E);681438323;eleblanc@charpentier.fr
77;MAT758155;Leroy;Frédéric;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;540;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CDI4/CRIL2;Cdi4/Cril2;CDI4/CRIL2;CDI4/CRIL2;EXTREME-NORD;FAR NORTH;MAYO SAVA;Mayo Sava;MORA;Mora;01/01/2003;01/01/1972;;M;MARIE(E);643965578;vincentthomas@faure.com
78;MAT216730;Martins;Bernadette;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL 2;Centre Régional Des Impôts Du Littoral 2;CDI5/CRIL2;Cdi5/Cril2;CDI5/CRIL2;CDI5/CRIL2;CENTRE;CENTER;NYONG ET SO’O;Nyong Et So’O;NKOLMETET;Nkolmetet;01/01/2009;09/05/1975;YAOUNDE;F;MARIE(E);633981971;rene01@bruneau.com
79;MAT949624;Hamel;Audrey;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;870;CHEF DE SOUS BRIGADE;Chef De Sous Brigade;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CSI/EPA;Csi/Epa;CSI/EPA;CSI/EPA;CENTRE;CENTER;MEFOU ET AFAMBA;Mefou Et Afamba;MFOU;Mfou;04/11/1999;29/07/1968;NLONG;M;MARIE(E);668144919;guybarbier@bouygtel.fr
80;MAT303130;Lemonnier;Anaïs;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/8;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CDI3/CRIL1;Cdi3/Cril1;CDI3/CRIL1;CDI3/CRIL1;SUD;SOUTH;MVILA;Mvila;NGOULEMAKONG;Ngoulemakong;01/01/2009;01/06/1977;MENGONG;M;MARIE(E);682945439;vincentdelahaye@georges.com
81;MAT116045;Loiseau;Jérôme;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;610;INSPECTEUR GESTIONNAIRE;Inspecteur Gestionnaire;CENTRE RÉGIONAL DES IMPÔTS DU CENTRE 2;Centre Régional Des Impôts Du Centre 2;CDI6/CRIC2;Cdi6/Cric2;CDI6/CRIC2;CDI6/CRIC2;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;MEYOMESSALA;Meyomessala;15/12/2003;26/07/1974;Minkang 1;F;MARIE(E);683204403;nbousquet@lenoir.org
82;MAT519206;Antoine;Jacqueline;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/4;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CDI3/CRIC1;Cdi3/Cric1;CDI3/CRIC1;CDI3/CRIC1;SUD;SOUTH;MVILA;Mvila;EBOLOWA 1;Ebolowa 1;01/05/2009;12/12/1965;;F;VEUF(VE);698142375;sophie70@andre.fr
83;MAT176470;Lefèvre;Françoise;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/1;COMPLÉMENT D'EFFECTIF CELLULE DE GESTION;Complément D'Effectif Cellule De Gestion;CENTRE REGIONAL DES IMPOTS DE L'OUEST;Centre Regional Des Impots De L'Ouest;CDI HAUT PLATEAUX;Cdi Haut Plateaux;CDI HAUT PLATEAUX;CDI HAUT PLATEAUX;;;;;;;02/01/2019;18/01/1977;Yaoundé;M;CELIBATAIRE;699314401;edith23@tele2.fr
84;MAT514754;Martins;Juliette;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/5;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU SUD;Centre Regional Des Impots Du Sud;CDI MVILA;Cdi Mvila;CDI MVILA;CDI MVILA;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;22/11/1972;ZOETELE;F;MARIE(E);619551449;schneiderjuliette@voila.fr
85;MAT494975;Blin;Thibault;CADRE CONTRACTUEL D'ADMINISTRATION;Cadre Contractuel D'Administration;10/9;CHEF DE SERVICE DE L'ARCHIVAGE;Chef De Service De L'Archivage;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;CIME LITTORAL EXTÉRIEUR;Cime Littoral Extérieur;CIME LITTORAL EXTÉRIEUR;CIME LITTORAL EXTÉRIEUR;CENTRE;CENTER;MEFOU ET AFAMBA;Mefou Et Afamba;ESSE;Esse;01/01/2009;03/02/1980;NTOUESSONG;F;CELIBATAIRE;679622127;edithda-silva@noos.fr
86;MAT338678;Andre;Adrienne;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/8;COMPLEMENT D'EFFECTIF;Complement D'Effectif;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;10/03/1974;;F;MARIE(E);625595294;helene18@chauvin.fr
87;MAT486850;Collet;Clémence;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;7/7;COMPLEMENT D'EFFECTIF;Complement D'Effectif;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CDI3/CRIC1;Cdi3/Cric1;CDI3/CRIC1;CDI3/CRIC1;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;SANGMELIMA;Sangmelima;01/01/2009;09/01/1972;;F;MARIE(E);688559852;jacques42@morin.com
88;MAT471138;Barthelemy;Augustin;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;870;DIRECTEUR;Directeur;AUTRES ADMINISTRATIONS DU MINFI;Autres Administrations Du Minfi;CAISSE AUTONOME D'AMORTISSEMENT;Caisse Autonome D'Amortissement;CAISSE AUTONOME D'AMORTISSEMENT;CAISSE AUTONOME D'AMORTISSEMENT;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;MEYOMESSALA;Meyomessala;26/08/2006;29/08/1978;Sangmeilima;M;MARIE(E);613251670;genevievebonnin@remy.fr
89;MAT178137;Carlier;Marguerite;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;480;CHEF DE SERVICE;Chef De Service;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;RRI/CRIL EXT;Rri/Cril Ext;RRI/CRIL EXT;RRI/CRIL EXT;CENTRE;CENTER;LEKIE;Lekie;MONATELE;Monatele;22/04/2013;15/01/1986;OBALA;F;CELIBATAIRE;601345411;bbarthelemy@gmail.com
90;MAT950856;Lefebvre;Gabrielle;CONTROLEUR PRINCIPAL DES IMPOTS;Controleur Principal Des Impots;575;FONDÉ DE POUVOIR;Fondé De Pouvoir;CENTRE RÉGIONAL DES IMPÔTS DU LITTORAL EXTÉRIEUR;Centre Régional Des Impôts Du Littoral Extérieur;CDI BONABERI;Cdi Bonaberi;CDI BONABERI;CDI BONABERI;SUD;SOUTH;MVILA;Mvila;EBOLOWA 1;Ebolowa 1;15/12/2003;17/01/1976;EBOLOWA;M;MARIE(E);626047865;brunetjules@ifrance.com
91;MAT332720;Thierry;Juliette;AGENT CONTRACTUEL D'ADMINISTRATION;Agent Contractuel D'Administration;8/7;SECRETAIRE;Secretaire;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CIME BONANJO;Cime Bonanjo;CIME BONANJO;CIME BONANJO;SUD;SOUTH;DJA ET LOBO;Dja Et Lobo;ZOETELE;Zoetele;01/01/2009;10/02/1971;;M;CELIBATAIRE;684817738;simonechauvet@laposte.net
92;MAT387009;Bertrand;Hugues;AGENT DECISIONNAIRE;Agent Decisionnaire;5/7;COMPLEMENT D'EFFECTIF;Complement D'Effectif;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;Programme De Securisation Des Recettes Forestieres;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;PROGRAMME DE SECURISATION DES RECETTES FORESTIERES;SUD;SOUTH;MVILA;Mvila;MENGONG;Mengong;18/02/2009;02/02/1974;mvilla;F;CELIBATAIRE;665412061;ebenoit@payet.fr
93;MAT108923;Ribeiro;Françoise;CONTROLEUR DES IMPÔTS;Controleur Des Impôts;495;CHEF DE SERVICE DES CSP;Chef De Service Des Csp;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;CDI3/CRIL1;Cdi3/Cril1;CDI3/CRIL1;CDI3/CRIL1;ADAMAOUA;ADAMAWA;MBERE;Mbere;MEIGANGA;Meiganga;06/01/2003;08/12/1976;GAROUA;M;MARIE(E);662758392;fernandesmargot@barbe.net
94;MAT860439;Lacroix;Élodie;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1005;CHEF DE BRIGADE;Chef De Brigade;CENTRE REGIONAL DES IMPOTS DU LITTORAL 1;Centre Regional Des Impots Du Littoral 1;BRE/CRIL1;Bre/Cril1;BRE/CRIL1;BRE/CRIL1;ADAMAOUA;ADAMAWA;VINA;Vina;BELE;Bele;12/11/2007;07/04/1975;;M;MARIE(E);627519613;sophie12@leclercq.fr
95;MAT854682;Fernandes;Zacharie;CONTRACTUEL D'ADMINISTRATION;Contractuel D'Administration;8/1;COMPLEMENT D'EFFECTIF;Complement D'Effectif;DIRECTION DES AFFAIRES GENERALES;Direction Des Affaires Generales;CENTRE D'APPELS TELEPHONIQUES;Centre D'Appels Telephoniques;CENTRE D'APPELS TELEPHONIQUES;CENTRE D'APPELS TELEPHONIQUES;CENTRE;CENTER;MBAM ET INOUBOU;Mbam Et Inoubou;BAFIA;Bafia;02/01/2019;03/07/1989;Bafia;M;CELIBATAIRE;618959512;gauthiermathilde@guillaume.com
96;MAT742403;Marchal;Clémence;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1115;INSPECTEUR DU BUDGET;Inspecteur Du Budget;AUTRES ADMINISTRATIONS DU MINFI;Autres Administrations Du Minfi;DIRECTION GENERALE DU BUDGET;Direction Generale Du Budget;DIRECTION GENERALE DU BUDGET;DIRECTION GENERALE DU BUDGET;ADAMAOUA;ADAMAWA;MAYO BANY;Mayo Bany;BANYO;Banyo;15/12/1999;01/01/1966;;M;MARIE(E);648079068;juliette66@fouquet.org
97;MAT158979;Salmon;Élise;INSPECTEUR PRINCIPAL DES IMPÔTS;Inspecteur Principal Des Impôts;1115;CHEF DE CENTRE.;Chef De Centre.;CENTRE REGIONAL DES IMPOTS DU CENTRE 1;Centre Regional Des Impots Du Centre 1;CIME YDE EST;Cime Yde Est;CIME YDE EST;CIME YDE EST;NORD;NORTH;BENOUE;Benoue;BIBEMI;Bibemi;17/08/2001;07/12/1973;;M;MARIE(E);672557907;dianeribeiro@pires.com
